epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1974.44,1.59383,1.22385,1.31131,0.42857,0.31391,0.35939,0.16857,2.24606,4.22206,1.41493,0.0011882,0.0011882,0.0011882
43,2020.43,1.61843,1.17292,1.24806,0.69977,0.62914,0.68334,0.28384,1.97788,1.24866,1.23779,0.0011684,0.0011684,0.0011684
44,2068.06,1.62027,1.18073,1.29245,0.67256,0.63576,0.66404,0.28886,1.95175,1.26922,1.23702,0.0011486,0.0011486,0.0011486
45,2114.77,1.61689,1.15636,1.29117,0.65273,0.65226,0.67793,0.27619,2.00375,1.22638,1.22866,0.0011288,0.0011288,0.0011288
46,2161.45,1.60459,1.1653,1.27411,0.6955,0.58675,0.64928,0.2411,2.14725,1.26048,1.31372,0.001109,0.001109,0.001109
47,2208.91,1.58877,1.1489,1.30066,0.67336,0.62252,0.66828,0.2531,2.07915,1.2256,1.2693,0.0010892,0.0010892,0.0010892
48,2256.89,1.62837,1.1731,1.28224,0.67246,0.63311,0.67654,0.28722,1.96497,1.22448,1.2261,0.0010694,0.0010694,0.0010694
49,2307.32,1.61342,1.20803,1.29252,0.62785,0.5298,0.54807,0.17811,2.33441,1.46266,1.37155,0.0010496,0.0010496,0.0010496
50,2353.37,1.58528,1.14777,1.27819,0.69569,0.59073,0.67796,0.29901,1.9502,1.22832,1.22569,0.0010298,0.0010298,0.0010298
51,2401.95,1.56351,1.1975,1.29884,0.67159,0.67173,0.70628,0.28959,1.93822,1.24531,1.21859,0.00101,0.00101,0.00101
52,2449.7,1.60238,1.16622,1.29047,0.68736,0.67682,0.72228,0.30181,1.91437,1.22089,1.21817,0.0009902,0.0009902,0.0009902
53,2496.12,1.5779,1.13552,1.28395,0.70058,0.67285,0.72383,0.30912,1.91327,1.1599,1.2101,0.0009704,0.0009704,0.0009704
54,2544.31,1.53778,1.13646,1.28163,0.73076,0.64347,0.73433,0.33471,1.85426,1.12013,1.18023,0.0009506,0.0009506,0.0009506
55,2591.18,1.54727,1.11459,1.26268,0.71475,0.63046,0.72092,0.32228,1.88389,1.14645,1.18861,0.0009308,0.0009308,0.0009308
56,2638.73,1.5723,1.08415,1.24813,0.71384,0.66623,0.73278,0.30009,1.95792,1.16283,1.22798,0.000911,0.000911,0.000911
57,2686.05,1.52761,1.04813,1.25224,0.67567,0.66358,0.71454,0.3266,1.86291,1.15669,1.18092,0.0008912,0.0008912,0.0008912
58,2734.77,1.56054,1.06481,1.27929,0.71707,0.67682,0.72757,0.29934,1.97253,1.15897,1.22429,0.0008714,0.0008714,0.0008714
59,2782.56,1.58343,1.07091,1.28524,0.70652,0.67281,0.72855,0.29914,1.97711,1.14278,1.23012,0.0008516,0.0008516,0.0008516
60,2832.14,1.58667,1.07507,1.27984,0.67054,0.65033,0.70248,0.30966,1.92495,1.2202,1.20985,0.0008318,0.0008318,0.0008318
61,2880.55,1.5313,1.07494,1.25123,0.70078,0.64238,0.70144,0.28523,2.02627,1.19872,1.25421,0.000812,0.000812,0.000812
62,2930.7,1.54427,1.07422,1.27303,0.70947,0.65828,0.72421,0.34097,1.8357,1.13308,1.17981,0.0007922,0.0007922,0.0007922
63,2979.3,1.56753,1.08721,1.27307,0.71661,0.67322,0.73298,0.30218,1.98588,1.18153,1.22206,0.0007724,0.0007724,0.0007724
64,3027.32,1.52759,1.01385,1.24693,0.71118,0.65563,0.71985,0.3066,1.96878,1.16176,1.22601,0.0007526,0.0007526,0.0007526
65,3073.52,1.51084,1.03134,1.28693,0.71063,0.62517,0.70994,0.31784,1.91273,1.21377,1.1995,0.0007328,0.0007328,0.0007328
66,3120.95,1.5258,1.04979,1.26783,0.6955,0.60132,0.69591,0.32146,1.82656,1.17924,1.1714,0.000713,0.000713,0.000713
67,3169.27,1.49613,0.99178,1.23062,0.68177,0.64414,0.70743,0.30332,1.95786,1.14328,1.22584,0.0006932,0.0006932,0.0006932
68,3216.72,1.53484,1.03864,1.26987,0.70127,0.66358,0.73198,0.30024,1.97965,1.11671,1.23081,0.0006734,0.0006734,0.0006734
69,3264.06,1.50012,1.01803,1.23346,0.71302,0.68449,0.75238,0.34987,1.81776,1.08834,1.16498,0.0006536,0.0006536,0.0006536
70,3312.26,1.5277,1.01954,1.2607,0.72911,0.66664,0.72841,0.2888,2.03349,1.1945,1.24963,0.0006338,0.0006338,0.0006338
71,3362.12,1.50748,0.98538,1.23674,0.70736,0.67947,0.74615,0.34323,1.81539,1.09753,1.16739,0.000614,0.000614,0.000614
72,3409.38,1.5196,1.02129,1.27619,0.7049,0.69404,0.746,0.34036,1.83322,1.10994,1.17354,0.0005942,0.0005942,0.0005942
73,3456.36,1.49369,0.96811,1.21797,0.7301,0.68076,0.75417,0.35145,1.79351,1.10888,1.15433,0.0005744,0.0005744,0.0005744
74,3503.3,1.47722,0.98896,1.2416,0.73018,0.68477,0.75044,0.34272,1.83325,1.10828,1.16576,0.0005546,0.0005546,0.0005546
75,3550.16,1.47398,0.94495,1.2111,0.67665,0.67682,0.72226,0.3151,1.93279,1.15537,1.20485,0.0005348,0.0005348,0.0005348
76,3599.32,1.50158,0.99529,1.23919,0.69156,0.68212,0.72893,0.33424,1.85845,1.12413,1.17991,0.000515,0.000515,0.000515
77,3646.62,1.50529,0.99702,1.23991,0.7115,0.69007,0.75545,0.35783,1.77998,1.05976,1.15285,0.0004952,0.0004952,0.0004952
78,3694.13,1.50481,0.98066,1.22671,0.69459,0.69284,0.74943,0.35737,1.77461,1.07983,1.14955,0.0004754,0.0004754,0.0004754
79,3742.29,1.48739,0.95534,1.25903,0.68399,0.64502,0.7055,0.32907,1.83622,1.16667,1.18036,0.0004556,0.0004556,0.0004556
80,3790.21,1.48489,0.97395,1.24283,0.68947,0.62781,0.70719,0.32948,1.8403,1.13777,1.17574,0.0004358,0.0004358,0.0004358
81,3836.48,1.46073,0.93379,1.22844,0.69717,0.66473,0.72848,0.34445,1.81973,1.12153,1.16488,0.000416,0.000416,0.000416
82,3883.42,1.47808,0.94874,1.21832,0.70203,0.70838,0.75272,0.3542,1.80801,1.0611,1.16564,0.0003962,0.0003962,0.0003962
83,3930.21,1.50558,0.9641,1.24888,0.69871,0.6755,0.74108,0.34515,1.86719,1.09671,1.18235,0.0003764,0.0003764,0.0003764
84,3979.67,1.48386,0.92217,1.25981,0.72159,0.69669,0.75782,0.35689,1.80234,1.04818,1.16181,0.0003566,0.0003566,0.0003566
85,4027.78,1.49148,0.95589,1.21,0.72776,0.67981,0.75168,0.35301,1.82321,1.05308,1.16945,0.0003368,0.0003368,0.0003368
86,4074.14,1.4702,0.94184,1.1959,0.71152,0.67297,0.7455,0.34832,1.83234,1.07811,1.17421,0.000317,0.000317,0.000317
87,4122.13,1.47591,0.94973,1.24009,0.71406,0.66755,0.74268,0.33719,1.864,1.0777,1.18924,0.0002972,0.0002972,0.0002972
88,4170.49,1.48787,0.94107,1.24929,0.69408,0.70728,0.74987,0.34097,1.84727,1.05831,1.17704,0.0002774,0.0002774,0.0002774
89,4218.48,1.46903,0.94644,1.23844,0.70779,0.69801,0.75354,0.34659,1.82792,1.08544,1.16388,0.0002576,0.0002576,0.0002576
90,4267.4,1.44282,0.89035,1.20791,0.71271,0.67947,0.75273,0.34733,1.82075,1.05458,1.16699,0.0002378,0.0002378,0.0002378
91,4313.83,1.44757,0.96862,1.24631,0.67177,0.69139,0.73067,0.30609,1.98184,1.11797,1.23023,0.000218,0.000218,0.000218
92,4358.66,1.41492,0.89653,1.24389,0.7137,0.63725,0.72114,0.28303,2.05068,1.22361,1.26043,0.0001982,0.0001982,0.0001982
93,4402.75,1.44566,0.90938,1.27991,0.69567,0.66093,0.72769,0.31081,1.95313,1.14399,1.22262,0.0001784,0.0001784,0.0001784
94,4447.67,1.40562,0.90485,1.27523,0.69426,0.69272,0.73974,0.32724,1.9051,1.08127,1.20232,0.0001586,0.0001586,0.0001586
95,4491.72,1.41021,0.91911,1.26514,0.67816,0.70861,0.74509,0.32592,1.91523,1.06723,1.20382,0.0001388,0.0001388,0.0001388
96,4536.86,1.41399,0.89794,1.24981,0.69692,0.67947,0.74874,0.34277,1.84101,1.0508,1.17367,0.000119,0.000119,0.000119
97,4581.32,1.37409,0.87294,1.25165,0.7223,0.65563,0.75315,0.3484,1.81941,1.06177,1.16498,9.92e-05,9.92e-05,9.92e-05
98,4624.58,1.37558,0.85367,1.22485,0.69859,0.68212,0.75201,0.32769,1.92408,1.05519,1.20587,7.94e-05,7.94e-05,7.94e-05
99,4669.33,1.39362,0.85016,1.23724,0.69644,0.70498,0.75541,0.33799,1.88517,1.05257,1.19067,5.96e-05,5.96e-05,5.96e-05
100,4714.56,1.38864,0.85997,1.24411,0.69288,0.72185,0.76088,0.34531,1.86261,1.04707,1.18203,3.98e-05,3.98e-05,3.98e-05
